expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
BARU14101,BARU,2014,1,Argentina,Matias Erroz,Argentinean-Norwegian Baruntse Expedition 2014,FALSE,2,0,0,FALSE
EVER14117,EVER,2014,1,Canada,Joe Raftis,Canadian Everest South,FALSE,2,0,0,FALSE
EVER14137,EVER,2014,1,China,Liu Yong,First Chinese Women Everest Expedition,FALSE,9,0,0,FALSE
EVER14140,EVER,2014,1,Japan,Muneo Nukita,World Expedition Consultants Everest Expedition 2014,FALSE,11,0,0,FALSE
EVER14104,EVER,2014,1,USA,Kevin Jackson,Epic Everest,FALSE,3,0,0,FALSE
EVER14105,EVER,2014,1,USA,Jim Williams,Explorodus Everest Expedition 2014,FALSE,6,0,0,FALSE
EVER14106,EVER,2014,1,USA,Ben Jones,Alpine Ascents International (AAI) NBC Everest Expedition,FALSE,6,0,0,FALSE
EVER14107,EVER,2014,1,UK,Chris Groves,Jagged Globe Everest Expedition 2014,FALSE,12,0,0,FALSE
EVER14108,EVER,2014,1,USA,Garrett Madison,Everest Wingsuit Expedition 2014,FALSE,2,0,0,FALSE
EVER14111,EVER,2014,1,Chile,Eugenio Guzman,Chilean 2014 Everest Expedition,FALSE,9,0,0,FALSE
EVER14109,EVER,2014,1,Canada,Tim Rippel,Peak Freaks Everest Expedition 2014,FALSE,12,0,0,FALSE
EVER14110,EVER,2014,1,USA,David Hahn,Rainier Mountaineering (RMI) Everest 2014,FALSE,10,0,0,FALSE
EVER14112,EVER,2014,1,Malaysia,Azim Afif Ishak,Malaysians to Everest,FALSE,7,0,0,FALSE
EVER14113,EVER,2014,1,New Zealand,Mike Roberts,Adventure Consultants Everest 2014 Working Group,FALSE,7,0,0,FALSE
EVER14114,EVER,2014,1,New Zealand,Dean Staples,Adventure Consultants Everest 2014,FALSE,8,0,0,FALSE
DHA114101,DHA1,2014,1,USA,Elias de Andres,American Dhaulagiri I Expedition,FALSE,6,0,0,FALSE
DHA114102,DHA1,2014,1,UK,Adele Pennington,Two Britons to Dhaulagiri,FALSE,2,0,0,FALSE
BARU13311,BARU,2013,3,Russia,Igor Komarov,Russian Baruntse Expedition 2013,FALSE,7,0,0,FALSE
EVER14115,EVER,2014,1,UK,Phil Crampton,Altitude Junkies Everest Expedition 2014,FALSE,8,0,0,FALSE
